headlines,outcome
"A post claims compulsory vacination violates the principles of bioethics, that coronavirus doesnâ€™t exist, that the PCR test returns many false positives, and that influenza vaccine is related to COVID-19.",0
A photo claims that this person is a doctor who died after attending to too many COVID-19 patinents in Hospital MuÃ±iz in Buenos Aires.,0
Post about a video claims that it is a protest against confination in the town of Aranda de Duero (Burgos),0
"All deaths by respiratory failure and pneumonia are being registered as COVID-19, according to the Civil Registry website.",0
The dean of the College of Biologists of Euskadi states that there are a lot of PCR false positives and asymptomatic donâ€™t spread coronavirus.,0
"Households with COVID-19 patients in Porto Alegre, Campo Grande and Santo AntÃ´nio da Platina must put a red ribbon on their garbage bags. Garbagemen are instructed to handle them in a safer way",0
A chain lists recommendations to prevent and treat coronavirus.,0
"60,000 Argentinian companies have closed due to COVID-19; also, all companies receiving government aid during the pandemic will be expropriated by the government",0
Social media posts criticize a photo from smiling president of the Goverment Pedro SÃ¡nchez during his holidays after thousands died from COVID-19,0
CDC has released an update on how the novel coronavirus can be transmitted,0
Good oral hygiene destroys the coronavirus and prevents its spread,0
A video shows Pakistani minister of Health slapping those who do not obey official measures,0
"A Brazilian deputee says the pandemic has started to decrease in his state, Rio Grande do Sul",0
WHO warns against consuming cabbage to prevent COVID-19,0
A picture shows hydroxychloroquine is being sold on public trains in Rio de Janeiro,0
There is evidence that chlorine dioxide cures COVID-19,0
A video shows Pakistani minister of Health slapping those who do not obey official measures,0
A picture shows hydroxychloroquine is being sold on public trains in Rio de Janeiro,0
Coronavirus does not settle in air but is grounded â€“ UNICEF,0
Coronavirus does not float in air but is grounded â€“ UNICEF,0
"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): â€œRight now [there is] a strict quarantine in Barcelonaâ€",0
A list of alleged remedies to treat coronavirus.,0
Coronavirus (COVID-19) is large in size where the cell diameter is 400-500 micro and for this reason any mask may prevent its entry â€“ UNICEF,0
COVID-19 is being controlled in Africa because of widespread distribution of ivermectin,0
A post claims that PCR test â€œcause damage to the blood-brain barrierâ€ or â€œcreate a direct entrance to the brain for any infection.â€,0
Supposed tweet form Berlin Police claims there was 3.5 million people at an August 1st rally in Berlin against coronavirus meassures.,0
Covid â€“ 19 is a bacteria amplified by 5G technology,0
A post spreading on WhatsApp claims there are 50 hospital guards job oppenings at IFEMA hospital in Madrid.,0
A photo shows hand sanitizer being sold in a vitamin D box,0
"There was a 78% fall on Chinese product sales in Brazil due to a boycott motivated by the pandemic, acording to INCINT",0
A photo collage claims to show images taken during a protest against coronavirus restrictions in Germany in August 2020.,0
Police can raid private spaces in MedellÃ­n for breach of the Dry Law,0
A post showing a health worker from the MuÃ±iz Hospital (Argentina) who died from treating patients with COVID-19,0
Fact Check: Neither The Viral Post On Coronavirus (COVID-19) Is From UNICEF Nor It Is Accurate,0
COVID-19 vaccines will cause infertility â€“ do not get vaccinated,0
A video supposedly showing a dead COVID-19 victim raising his hand while being lifted away by health workers proves the global pandemic is a hoax.,0
COVID-19 has its own pH value,0
â€˜Doctors for the truthâ€™ make claims about the coronavirus.,0
Chinese vaccines contain a microchip that receives 5G signals and allow Chinese government to interfere with your RNA,0
"There was a 30% fall on Chinese product sales in the Brazilian state of Santa Catarina, due to a boycott motivated by the pandemic",0
A photo of a beach with lots of boats and a message that says there are infected inmigrants in Argelia preparing to travel to Spain.,0
The WHO said â€œthere is no solution and perhaps never will beâ€ for coronavirus.,0
